연도,주차,아형,인플루엔자 검출률
2023,35,A(H1N1)pdm09,2.4
2023,34,A(H1N1)pdm09,1.2
2023,33,A(H1N1)pdm09,1.2
2023,32,A(H1N1)pdm09,3.4
2023,31,A(H1N1)pdm09,5.0
2023,30,A(H1N1)pdm09,5.9
2023,29,A(H1N1)pdm09,4.8
2023,28,A(H1N1)pdm09,4.2
2023,27,A(H1N1)pdm09,2.0
2023,26,A(H1N1)pdm09,2.1
2023,25,A(H1N1)pdm09,2.4
2023,24,A(H1N1)pdm09,5.0
2023,23,A(H1N1)pdm09,1.4
2023,22,A(H1N1)pdm09,4.8
2023,21,A(H1N1)pdm09,4.1
2023,20,A(H1N1)pdm09,2.8
2023,19,A(H1N1)pdm09,2.1
2023,18,A(H1N1)pdm09,4.7
2023,17,A(H1N1)pdm09,1.4
2023,16,A(H1N1)pdm09,2.3
2023,15,A(H1N1)pdm09,1.3
2023,14,A(H1N1)pdm09,1.3
2023,13,A(H1N1)pdm09,0.8
2023,12,A(H1N1)pdm09,0.0
2023,11,A(H1N1)pdm09,0.9
2023,10,A(H1N1)pdm09,0.3
2023,9,A(H1N1)pdm09,0.8
2023,8,A(H1N1)pdm09,0.4
2023,7,A(H1N1)pdm09,0.0
2023,6,A(H1N1)pdm09,0.4
2023,5,A(H1N1)pdm09,0.4
2023,4,A(H1N1)pdm09,0.0
2023,3,A(H1N1)pdm09,0.0
2023,2,A(H1N1)pdm09,0.3
2023,1,A(H1N1)pdm09,0.0
2022,53,A(H1N1)pdm09,0.3
2022,52,A(H1N1)pdm09,0.0
2022,51,A(H1N1)pdm09,0.0
2022,50,A(H1N1)pdm09,0.0
2022,49,A(H1N1)pdm09,0.0
2022,48,A(H1N1)pdm09,0.0
2022,47,A(H1N1)pdm09,0.0
2022,46,A(H1N1)pdm09,0.0
2022,45,A(H1N1)pdm09,0.0
2022,44,A(H1N1)pdm09,0.0
2022,43,A(H1N1)pdm09,0.0
2022,42,A(H1N1)pdm09,0.0
2022,41,A(H1N1)pdm09,0.0
2022,40,A(H1N1)pdm09,0.0
2022,39,A(H1N1)pdm09,0.0
2022,38,A(H1N1)pdm09,0.0
2022,37,A(H1N1)pdm09,0.0
2022,36,A(H1N1)pdm09,0.0
2023,35,A(H3N2),1.7
