연도,주차,아형,인플루엔자 검출률
2021,35,A(H1N1)pdm09,0
2021,34,A(H1N1)pdm09,0
2021,33,A(H1N1)pdm09,0
2021,32,A(H1N1)pdm09,0
2021,31,A(H1N1)pdm09,0
2021,30,A(H1N1)pdm09,0
2021,29,A(H1N1)pdm09,0
2021,28,A(H1N1)pdm09,0
2021,27,A(H1N1)pdm09,0
2021,26,A(H1N1)pdm09,0
2021,25,A(H1N1)pdm09,0
2021,24,A(H1N1)pdm09,0
2021,23,A(H1N1)pdm09,0
2021,22,A(H1N1)pdm09,0
2021,21,A(H1N1)pdm09,0
2021,20,A(H1N1)pdm09,0
2021,19,A(H1N1)pdm09,0
2021,18,A(H1N1)pdm09,0
2021,17,A(H1N1)pdm09,0
2021,16,A(H1N1)pdm09,0
2021,15,A(H1N1)pdm09,0
2021,14,A(H1N1)pdm09,0
2021,13,A(H1N1)pdm09,0
2021,12,A(H1N1)pdm09,0
2021,11,A(H1N1)pdm09,0
2021,10,A(H1N1)pdm09,0
2021,9,A(H1N1)pdm09,0
2021,8,A(H1N1)pdm09,0
2021,7,A(H1N1)pdm09,0
2021,6,A(H1N1)pdm09,0
2021,5,A(H1N1)pdm09,0
2021,4,A(H1N1)pdm09,0
2021,3,A(H1N1)pdm09,0
2021,2,A(H1N1)pdm09,0
2021,1,A(H1N1)pdm09,0
2020,53,A(H1N1)pdm09,0
2020,52,A(H1N1)pdm09,0
2020,51,A(H1N1)pdm09,0
2020,50,A(H1N1)pdm09,0
2020,49,A(H1N1)pdm09,0
2020,48,A(H1N1)pdm09,0
2020,47,A(H1N1)pdm09,0
2020,46,A(H1N1)pdm09,0
2020,45,A(H1N1)pdm09,0
2020,44,A(H1N1)pdm09,0
2020,43,A(H1N1)pdm09,0
2020,42,A(H1N1)pdm09,0
2020,41,A(H1N1)pdm09,0
2020,40,A(H1N1)pdm09,0
2020,39,A(H1N1)pdm09,0
2020,38,A(H1N1)pdm09,0
2020,37,A(H1N1)pdm09,0
2020,36,A(H1N1)pdm09,0
2021,35,A(H3N2),0
2021,34,A(H3N2),0
2021,33,A(H3N2),0
2021,32,A(H3N2),0
2021,31,A(H3N2),0
2021,30,A(H3N2),0
2021,29,A(H3N2),0
2021,28,A(H3N2),0
2021,27,A(H3N2),0
2021,26,A(H3N2),0
2021,25,A(H3N2),0
2021,24,A(H3N2),0
2021,23,A(H3N2),0
2021,22,A(H3N2),0
2021,21,A(H3N2),0
2021,20,A(H3N2),0
2021,19,A(H3N2),0
2021,18,A(H3N2),0
2021,17,A(H3N2),0
2021,16,A(H3N2),0
2021,15,A(H3N2),0
2021,14,A(H3N2),0
2021,13,A(H3N2),0
2021,12,A(H3N2),0
2021,11,A(H3N2),0
2021,10,A(H3N2),0
2021,9,A(H3N2),0
2021,8,A(H3N2),0
2021,7,A(H3N2),0
2021,6,A(H3N2),0
2021,5,A(H3N2),0
2021,4,A(H3N2),0
2021,3,A(H3N2),0
2021,2,A(H3N2),0
2021,1,A(H3N2),0
2020,53,A(H3N2),0
2020,52,A(H3N2),0
2020,51,A(H3N2),0
2020,50,A(H3N2),0
2020,49,A(H3N2),0
2020,48,A(H3N2),0
2020,47,A(H3N2),0
2020,46,A(H3N2),0
2020,45,A(H3N2),0
2020,44,A(H3N2),0
2020,43,A(H3N2),0
2020,42,A(H3N2),0
2020,41,A(H3N2),0
2020,40,A(H3N2),0
2020,39,A(H3N2),0
2020,38,A(H3N2),0
2020,37,A(H3N2),0
2020,36,A(H3N2),0
2021,35,B,0
2021,34,B,0
2021,33,B,0
2021,32,B,0
2021,31,B,0
2021,30,B,0
2021,29,B,0
2021,28,B,0
2021,27,B,0
2021,26,B,0
2021,25,B,0
2021,24,B,0
2021,23,B,0
2021,22,B,0
2021,21,B,0
2021,20,B,0
2021,19,B,0
2021,18,B,0
2021,17,B,0
2021,16,B,0
2021,15,B,0
2021,14,B,0
2021,13,B,0
2021,12,B,0
2021,11,B,0
2021,10,B,0
2021,9,B,0
2021,8,B,0
2021,7,B,0
2021,6,B,0
2021,5,B,0
2021,4,B,0
2021,3,B,0
2021,2,B,0
2021,1,B,0
2020,53,B,0
2020,52,B,0
2020,51,B,0
2020,50,B,0
2020,49,B,0
2020,48,B,0
2020,47,B,0
2020,46,B,0
2020,45,B,0
2020,44,B,0
2020,43,B,0
2020,42,B,0
2020,41,B,0
2020,40,B,0
2020,39,B,0
2020,38,B,0
2020,37,B,0
2020,36,B,0
2021,35,검출률,0
2021,34,검출률,0
2021,33,검출률,0
2021,32,검출률,0
2021,31,검출률,0
2021,30,검출률,0
2021,29,검출률,0
2021,28,검출률,0
2021,27,검출률,0
2021,26,검출률,0
2021,25,검출률,0
2021,24,검출률,0
2021,23,검출률,0
2021,22,검출률,0
2021,21,검출률,0
2021,20,검출률,0
2021,19,검출률,0
2021,18,검출률,0
2021,17,검출률,0
2021,16,검출률,0
2021,15,검출률,0
2021,14,검출률,0
2021,13,검출률,0
2021,12,검출률,0
2021,11,검출률,0
2021,10,검출률,0
2021,9,검출률,0
2021,8,검출률,0
2021,7,검출률,0
2021,6,검출률,0
2021,5,검출률,0
2021,4,검출률,0
2021,3,검출률,0
2021,2,검출률,0
2021,1,검출률,0
2020,53,검출률,0
2020,52,검출률,0
2020,51,검출률,0
2020,50,검출률,0
2020,49,검출률,0
2020,48,검출률,0
2020,47,검출률,0
2020,46,검출률,0
2020,45,검출률,0
2020,44,검출률,0
2020,43,검출률,0
2020,42,검출률,0
2020,41,검출률,0
2020,40,검출률,0
2020,39,검출률,0
2020,38,검출률,0
2020,37,검출률,0
2020,36,검출률,0
