연도,주차,아형,인플루엔자 검출률
2024,35,A,0.4
2024,34,A,0.4
2024,33,A,0.5
2024,32,A,0.6
2024,31,A,0.7
2024,30,A,0.7
2024,29,A,0.6
2024,28,A,0.4
2024,27,A,0.2
2024,26,A,0.3
2024,25,A,0.2
2024,24,A,0.1
2024,23,A,0.2
2024,22,A,0.2
2024,21,A,0.2
2024,20,A,0.4
2024,19,A,0.3
2024,18,A,0.4
2024,17,A,0.7
2024,16,A,0.9
2024,15,A,1.0
2024,14,A,1.7
2024,13,A,1.8
2024,12,A,1.5
2024,11,A,1.7
2024,10,A,1.5
2024,9,A,1.7
2024,8,A,2.3
2024,7,A,4.1
2024,6,A,5.2
2024,5,A,6.7
2024,4,A,7.0
2024,3,A,9.2
2024,2,A,11.3
2024,1,A,12.9
2024,35,B,0.0
2024,34,B,0.0
2024,33,B,0.0
2024,32,B,0.0
2024,31,B,0.1
2024,30,B,0.0
2024,29,B,0.1
2024,28,B,0.0
2024,27,B,0.0
2024,26,B,0.1
2024,25,B,0.1
2024,24,B,0.2
2024,23,B,0.3
2024,22,B,0.2
2024,21,B,0.4
2024,20,B,0.4
2024,19,B,0.4
2024,18,B,0.6
2024,17,B,0.9
2024,16,B,1.4
2024,15,B,1.7
2024,14,B,2.2
2024,13,B,2.4
2024,12,B,2.0
2024,11,B,1.8
2024,10,B,1.5
2024,9,B,2.4
2024,8,B,3.5
2024,7,B,6.6
2024,6,B,8.3
2024,5,B,7.9
2024,4,B,8.0
2024,3,B,9.5
2024,2,B,10.5
2024,1,B,11.8
2024,35,검출률,0.4
2024,34,검출률,0.4
2024,33,검출률,0.5
2024,32,검출률,0.6
2024,31,검출률,0.8
2024,30,검출률,0.8
2024,29,검출률,0.7
2024,28,검출률,0.4
2024,27,검출률,0.3
2024,26,검출률,0.4
2024,25,검출률,0.3
2024,24,검출률,0.3
2024,23,검출률,0.4
2024,22,검출률,0.4
2024,21,검출률,0.6
2024,20,검출률,0.8
2024,19,검출률,0.7
2024,18,검출률,1.1
2024,17,검출률,1.5
2024,16,검출률,2.4
2024,15,검출률,2.7
2024,14,검출률,3.9
2024,13,검출률,4.2
2024,12,검출률,3.5
2024,11,검출률,3.5
2024,10,검출률,3.0
2024,9,검출률,4.1
2024,8,검출률,5.8
2024,7,검출률,10.7
2024,6,검출률,13.5
2024,5,검출률,14.6
2024,4,검출률,15.0
2024,3,검출률,18.7
2024,2,검출률,21.9
2024,1,검출률,24.7
