연도,주차,연령대,의사환자 분율
2017,36,65세이상,2.1
2017,37,65세이상,1.7
2017,38,65세이상,1.8
2017,39,65세이상,1.5
2017,40,65세이상,3.6
2017,41,65세이상,1.1
2017,42,65세이상,1.8
2017,43,65세이상,1.9
2017,44,65세이상,1.7
2017,45,65세이상,1.7
2017,46,65세이상,1.3
2017,47,65세이상,2.1
2017,48,65세이상,2.4
2017,49,65세이상,4.4
2017,50,65세이상,5.8
2017,51,65세이상,13.2
2017,52,65세이상,21.7
2017,53,65세이상,21.7
2018,1,65세이상,31.9
2018,2,65세이상,30.4
2018,3,65세이상,22.8
2018,4,65세이상,15.5
2018,5,65세이상,11.1
2018,6,65세이상,10.9
2018,7,65세이상,9.7
2018,8,65세이상,6.8
2018,9,65세이상,6.3
2018,10,65세이상,4.0
2018,11,65세이상,3.1
2018,12,65세이상,3.0
2018,13,65세이상,2.8
2018,14,65세이상,2.1
2018,15,65세이상,1.7
2018,16,65세이상,1.3
2018,17,65세이상,5.5
2018,18,65세이상,0.9
2018,19,65세이상,1.5
2018,20,65세이상,2.1
2018,21,65세이상,1.8
2018,22,65세이상,1.6
2018,23,65세이상,1.7
2018,24,65세이상,1.2
2018,25,65세이상,1.3
2018,26,65세이상,0.8
2018,27,65세이상,1.0
2018,28,65세이상,0.7
2018,29,65세이상,0.7
2018,30,65세이상,0.8
2018,31,65세이상,0.6
2018,32,65세이상,0.5
2018,33,65세이상,0.7
2018,34,65세이상,1.1
2018,35,65세이상,1.0
2017,36,50-64세,2.9
2017,37,50-64세,3.7
2017,38,50-64세,2.7
2017,39,50-64세,2.4
2017,40,50-64세,5.1
2017,41,50-64세,2.7
2017,42,50-64세,2.0
2017,43,50-64세,2.6
2017,44,50-64세,2.9
2017,45,50-64세,3.2
2017,46,50-64세,3.4
2017,47,50-64세,4.3
2017,48,50-64세,5.0
2017,49,50-64세,9.2
2017,50,50-64세,14.4
2017,51,50-64세,29.6
2017,52,50-64세,44.6
2017,53,50-64세,44.6
2018,1,50-64세,56.7
2018,2,50-64세,55.6
2018,3,50-64세,44.8
2018,4,50-64세,29.9
2018,5,50-64세,24.7
2018,6,50-64세,22.4
2018,7,50-64세,15.4
2018,8,50-64세,13.4
2018,9,50-64세,11.1
2018,10,50-64세,7.3
2018,11,50-64세,5.5
2018,12,50-64세,5.0
2018,13,50-64세,5.5
2018,14,50-64세,4.7
2018,15,50-64세,3.9
2018,16,50-64세,4.1
2018,17,50-64세,7.0
2018,18,50-64세,4.0
2018,19,50-64세,4.4
2018,20,50-64세,3.6
2018,21,50-64세,3.3
2018,22,50-64세,3.3
2018,23,50-64세,3.7
2018,24,50-64세,3.0
2018,25,50-64세,2.6
2018,26,50-64세,2.4
2018,27,50-64세,2.2
2018,28,50-64세,2.0
2018,29,50-64세,2.0
2018,30,50-64세,1.8
2018,31,50-64세,1.8
2018,32,50-64세,1.4
2018,33,50-64세,1.3
2018,34,50-64세,1.7
2018,35,50-64세,2.2
2017,36,19-49세,5.7
2017,37,19-49세,5.8
2017,38,19-49세,6.1
2017,39,19-49세,4.7
2017,40,19-49세,3.5
2017,41,19-49세,4.7
2017,42,19-49세,4.0
2017,43,19-49세,4.6
2017,44,19-49세,6.1
2017,45,19-49세,6.0
2017,46,19-49세,6.0
2017,47,19-49세,7.6
2017,48,19-49세,9.2
2017,49,19-49세,17.9
2017,50,19-49세,30.1
2017,51,19-49세,45.3
2017,52,19-49세,71.0
2017,53,19-49세,71.0
2018,1,19-49세,81.8
2018,2,19-49세,83.1
2018,3,19-49세,65.9
2018,4,19-49세,46.6
