연도,주차,아형,인플루엔자 검출률
2019,35,A(H1N1)pdm09,0.0
2019,34,A(H1N1)pdm09,0.6
2019,33,A(H1N1)pdm09,0.0
2019,32,A(H1N1)pdm09,0.0
2019,31,A(H1N1)pdm09,0.0
2019,30,A(H1N1)pdm09,0.0
2019,29,A(H1N1)pdm09,0.0
2019,28,A(H1N1)pdm09,0.0
2019,27,A(H1N1)pdm09,0.0
2019,26,A(H1N1)pdm09,0.0
2019,25,A(H1N1)pdm09,0.0
2019,24,A(H1N1)pdm09,0.0
2019,23,A(H1N1)pdm09,0.0
2019,22,A(H1N1)pdm09,0.0
2019,21,A(H1N1)pdm09,0.0
2019,20,A(H1N1)pdm09,0.4
2019,19,A(H1N1)pdm09,0.0
2019,18,A(H1N1)pdm09,0.0
2019,17,A(H1N1)pdm09,0.3
2019,16,A(H1N1)pdm09,0.0
2019,15,A(H1N1)pdm09,0.0
2019,14,A(H1N1)pdm09,0.0
2019,13,A(H1N1)pdm09,0.0
2019,12,A(H1N1)pdm09,0.0
2019,11,A(H1N1)pdm09,0.0
2019,10,A(H1N1)pdm09,0.5
2019,9,A(H1N1)pdm09,0.0
2019,8,A(H1N1)pdm09,2.6
2019,7,A(H1N1)pdm09,0.5
2019,6,A(H1N1)pdm09,0.0
2019,5,A(H1N1)pdm09,6.6
2019,4,A(H1N1)pdm09,11.3
2019,3,A(H1N1)pdm09,22.3
2019,2,A(H1N1)pdm09,27.0
2019,1,A(H1N1)pdm09,37.9
2018,53,A(H1N1)pdm09,37.5
2018,52,A(H1N1)pdm09,37.5
2018,51,A(H1N1)pdm09,39.4
2018,50,A(H1N1)pdm09,26.1
2018,49,A(H1N1)pdm09,17.1
2018,48,A(H1N1)pdm09,15.3
2018,47,A(H1N1)pdm09,6.9
2018,46,A(H1N1)pdm09,5.0
2018,45,A(H1N1)pdm09,3.4
2018,44,A(H1N1)pdm09,3.3
2018,43,A(H1N1)pdm09,2.2
2018,42,A(H1N1)pdm09,0.9
2018,41,A(H1N1)pdm09,0.7
2018,40,A(H1N1)pdm09,0.0
2018,39,A(H1N1)pdm09,0.0
2018,38,A(H1N1)pdm09,0.9
2018,37,A(H1N1)pdm09,0.4
2018,36,A(H1N1)pdm09,0.5
2019,35,A(H3N2),0.0
2019,34,A(H3N2),0.0
2019,33,A(H3N2),0.8
2019,32,A(H3N2),0.0
2019,31,A(H3N2),0.0
2019,30,A(H3N2),0.0
2019,29,A(H3N2),0.5
2019,28,A(H3N2),0.5
2019,27,A(H3N2),0.0
2019,26,A(H3N2),0.0
2019,25,A(H3N2),0.0
2019,24,A(H3N2),0.5
2019,23,A(H3N2),0.0
2019,22,A(H3N2),1.2
2019,21,A(H3N2),1.2
2019,20,A(H3N2),0.4
2019,19,A(H3N2),0.5
2019,18,A(H3N2),0.7
2019,17,A(H3N2),3.0
2019,16,A(H3N2),2.2
2019,15,A(H3N2),6.8
2019,14,A(H3N2),7.3
2019,13,A(H3N2),5.8
2019,12,A(H3N2),6.2
2019,11,A(H3N2),11.0
2019,10,A(H3N2),6.9
2019,9,A(H3N2),5.9
2019,8,A(H3N2),7.0
2019,7,A(H3N2),5.4
2019,6,A(H3N2),11.5
2019,5,A(H3N2),5.8
2019,4,A(H3N2),7.0
2019,3,A(H3N2),5.7
2019,2,A(H3N2),6.3
2019,1,A(H3N2),5.8
2018,53,A(H3N2),5.9
2018,52,A(H3N2),5.9
2018,51,A(H3N2),6.0
2018,50,A(H3N2),4.8
2018,49,A(H3N2),4.2
2018,48,A(H3N2),5.3
2018,47,A(H3N2),3.3
2018,46,A(H3N2),4.6
2018,45,A(H3N2),0.8
2018,44,A(H3N2),1.3
2018,43,A(H3N2),0.4
2018,42,A(H3N2),0.0
2018,41,A(H3N2),0.0
2018,40,A(H3N2),0.0
2018,39,A(H3N2),0.0
2018,38,A(H3N2),0.5
2018,37,A(H3N2),0.0
2018,36,A(H3N2),0.0
2019,35,B,0.0
2019,34,B,0.0
2019,33,B,0.0
2019,32,B,0.0
2019,31,B,0.0
2019,30,B,0.0
2019,29,B,0.0
2019,28,B,0.0
2019,27,B,1.0
2019,26,B,1.1
2019,25,B,2.1
2019,24,B,2.5
2019,23,B,2.2
2019,22,B,5.4
2019,21,B,6.2
2019,20,B,9.7
2019,19,B,10.3
2019,18,B,16.7
2019,17,B,23.1
2019,16,B,32.7
2019,15,B,37.3
2019,14,B,26.7
2019,13,B,23.5
2019,12,B,16.4
2019,11,B,9.8
2019,10,B,3.2
2019,9,B,1.8
2019,8,B,1.3
2019,7,B,0.5
2019,6,B,0.0
2019,5,B,1.8
2019,4,B,1.6
2019,3,B,1.8
2019,2,B,0.4
2019,1,B,0.0
2018,53,B,0.0
2018,52,B,0.0
2018,51,B,0.3
2018,50,B,0.0
2018,49,B,0.0
2018,48,B,0.0
2018,47,B,0.0
2018,46,B,0.0
2018,45,B,0.0
2018,44,B,0.0
2018,43,B,0.0
2018,42,B,0.0
2018,41,B,0.0
2018,40,B,0.0
2018,39,B,0.0
2018,38,B,0.0
2018,37,B,0.0
2018,36,B,0.0
2019,35,검출률,0.0
2019,34,검출률,0.6
2019,33,검출률,0.8
2019,32,검출률,0.0
2019,31,검출률,0.0
2019,30,검출률,0.0
2019,29,검출률,0.5
2019,28,검출률,0.5
2019,27,검출률,1.0
2019,26,검출률,1.1
2019,25,검출률,2.1
2019,24,검출률,3.0
2019,23,검출률,2.2
2019,22,검출률,6.5
2019,21,검출률,7.4
2019,20,검출률,10.5
2019,19,검출률,10.8
2019,18,검출률,17.4
2019,17,검출률,26.4
2019,16,검출률,34.9
2019,15,검출률,44.1
2019,14,검출률,34.0
2019,13,검출률,29.2
2019,12,검출률,22.6
2019,11,검출률,20.8
2019,10,검출률,10.6
2019,9,검출률,7.7
2019,8,검출률,11.0
2019,7,검출률,6.3
2019,6,검출률,11.5
2019,5,검출률,14.2
2019,4,검출률,19.8
2019,3,검출률,29.7
2019,2,검출률,33.7
2019,1,검출률,43.6
2018,53,검출률,43.5
2018,52,검출률,43.5
2018,51,검출률,45.7
2018,50,검출률,30.9
2018,49,검출률,21.3
2018,48,검출률,20.6
2018,47,검출률,10.2
2018,46,검출률,9.6
2018,45,검출률,4.2
2018,44,검출률,4.6
2018,43,검출률,2.7
2018,42,검출률,0.9
2018,41,검출률,0.7
2018,40,검출률,0.0
2018,39,검출률,0.0
2018,38,검출률,1.4
2018,37,검출률,0.4
2018,36,검출률,0.5
