연도,주차,연령대,예방접종률
2020,38,75세 이상,0.0
2020,39,75세 이상,0.0
2020,40,75세 이상,0.0
2020,41,75세 이상,0.0
2020,42,75세 이상,0.0
2020,43,75세 이상,70.7
2020,44,75세 이상,76.3
2020,45,75세 이상,79.2
2020,46,75세 이상,80.5
2020,47,75세 이상,81.2
2020,48,75세 이상,81.7
2020,49,75세 이상,82.0
2020,50,75세 이상,82.2
2020,51,75세 이상,82.3
2020,52,75세 이상,82.4
2020,53,75세 이상,82.4
2021,1,75세 이상,82.5
2021,2,75세 이상,82.5
2021,3,75세 이상,82.5
2021,4,75세 이상,82.5
2021,5,75세 이상,82.5
2021,6,75세 이상,82.5
2021,7,75세 이상,82.5
2021,8,75세 이상,82.5
2021,9,75세 이상,82.5
2021,10,75세 이상,82.5
2021,11,75세 이상,82.6
2021,12,75세 이상,82.6
2021,13,75세 이상,82.6
2021,14,75세 이상,82.6
2021,15,75세 이상,82.6
2021,16,75세 이상,82.6
2021,17,75세 이상,82.6
2021,18,75세 이상,82.6
2020,38,70-74세,0.0
2020,39,70-74세,0.0
2020,40,70-74세,0.0
2020,41,70-74세,0.0
2020,42,70-74세,0.0
2020,43,70-74세,67.5
2020,44,70-74세,74.2
2020,45,70-74세,77.3
2020,46,70-74세,79.0
2020,47,70-74세,79.9
2020,48,70-74세,80.6
2020,49,70-74세,81.1
2020,50,70-74세,81.4
2020,51,70-74세,81.6
2020,52,70-74세,81.8
2020,53,70-74세,81.8
2021,1,70-74세,82.0
2021,2,70-74세,82.0
2021,3,70-74세,82.0
2021,4,70-74세,82.0
2021,5,70-74세,82.0
2021,6,70-74세,82.0
2021,7,70-74세,82.0
2021,8,70-74세,82.0
2021,9,70-74세,82.0
2021,10,70-74세,82.0
2021,11,70-74세,82.0
2021,12,70-74세,82.0
2021,13,70-74세,82.0
2021,14,70-74세,82.0
2021,15,70-74세,82.0
2021,16,70-74세,82.0
2021,17,70-74세,82.0
2021,18,70-74세,82.0
2020,38,65-69세,0.0
2020,39,65-69세,0.0
2020,40,65-69세,0.0
2020,41,65-69세,0.0
2020,42,65-69세,0.0
2020,43,65-69세,11.9
2020,44,65-69세,45.6
2020,45,65-69세,54.7
2020,46,65-69세,58.8
2020,47,65-69세,61.3
2020,48,65-69세,63.0
2020,49,65-69세,64.1
2020,50,65-69세,65.1
2020,51,65-69세,66.1
2020,52,65-69세,66.6
2020,53,65-69세,66.6
2021,1,65-69세,67.1
2021,2,65-69세,67.1
2021,3,65-69세,67.1
2021,4,65-69세,67.1
2021,5,65-69세,67.1
2021,6,65-69세,67.1
2021,7,65-69세,67.1
2021,8,65-69세,67.1
2021,9,65-69세,67.1
2021,10,65-69세,67.1
2021,11,65-69세,67.1
2021,12,65-69세,67.1
2021,13,65-69세,67.1
2021,14,65-69세,67.1
2021,15,65-69세,67.1
2021,16,65-69세,67.1
2021,17,65-69세,67.2
2021,18,65-69세,67.2
2020,38,65세 이상,0.0
2020,39,65세 이상,0.0
2020,40,65세 이상,0.0
2020,41,65세 이상,0.0
2020,42,65세 이상,0.0
2020,43,65세 이상,50.5
2020,44,65세 이상,65.7
2020,45,65세 이상,70.6
2020,46,65세 이상,73.0
2020,47,65세 이상,74.3
2020,48,65세 이상,75.3
2020,49,65세 이상,75.9
2020,50,65세 이상,76.4
2020,51,65세 이상,76.8
2020,52,65세 이상,77.1
2020,53,65세 이상,77.1
2021,1,65세 이상,77.3
2021,2,65세 이상,77.3
2021,3,65세 이상,77.3
2021,4,65세 이상,77.3
2021,5,65세 이상,77.3
2021,6,65세 이상,77.3
2021,7,65세 이상,77.3
2021,8,65세 이상,77.3
2021,9,65세 이상,77.3
2021,10,65세 이상,77.3
2021,11,65세 이상,77.3
2021,12,65세 이상,77.3
2021,13,65세 이상,77.3
2021,14,65세 이상,77.3
2021,15,65세 이상,77.3
2021,16,65세 이상,77.3
2021,17,65세 이상,77.3
2021,18,65세 이상,77.3
