연도,주차,연령대,응급실 인플루엔자 환자
2024,36,연령미상,0
2024,37,연령미상,0
2024,38,연령미상,0
2024,39,연령미상,0
2024,40,연령미상,0
2024,41,연령미상,0
2024,42,연령미상,0
2024,43,연령미상,0
2024,44,연령미상,0
2024,45,연령미상,0
2024,46,연령미상,0
2024,47,연령미상,0
2024,48,연령미상,0
2024,49,연령미상,0
2024,50,연령미상,0
2024,51,연령미상,0
2024,52,연령미상,0
2024,53,연령미상,0
2025,1,연령미상,0
2025,2,연령미상,0
2025,3,연령미상,0
2025,4,연령미상,0
2025,5,연령미상,0
2025,6,연령미상,0
2025,7,연령미상,0
2025,8,연령미상,0
2025,9,연령미상,0
2025,10,연령미상,0
2025,11,연령미상,0
2025,12,연령미상,0
2025,13,연령미상,0
2025,14,연령미상,0
2025,15,연령미상,0
2025,16,연령미상,0
2025,17,연령미상,0
2025,18,연령미상,0
2025,19,연령미상,0
2025,20,연령미상,0
2025,21,연령미상,0
2025,22,연령미상,0
2025,23,연령미상,0
2025,24,연령미상,0
2025,25,연령미상,0
2025,26,연령미상,0
2025,27,연령미상,0
2025,28,연령미상,0
2025,29,연령미상,0
2025,30,연령미상,0
2025,31,연령미상,0
2025,32,연령미상,0
2025,33,연령미상,0
2025,34,연령미상,0
2025,35,연령미상,0
2024,36,65세이상,35
2024,37,65세이상,27
2024,38,65세이상,53
2024,39,65세이상,34
2024,40,65세이상,39
2024,41,65세이상,41
2024,42,65세이상,35
2024,43,65세이상,48
2024,44,65세이상,46
2024,45,65세이상,46
2024,46,65세이상,56
2024,47,65세이상,51
2024,48,65세이상,71
2024,49,65세이상,128
2024,50,65세이상,226
2024,51,65세이상,814
2024,52,65세이상,2980
2024,53,65세이상,2980
2025,1,65세이상,6411
2025,2,65세이상,5477
2025,3,65세이상,3498
2025,4,65세이상,1990
2025,5,65세이상,1542
2025,6,65세이상,474
2025,7,65세이상,253
2025,8,65세이상,164
2025,9,65세이상,152
2025,10,65세이상,136
2025,11,65세이상,90
2025,12,65세이상,78
2025,13,65세이상,113
2025,14,65세이상,66
2025,15,65세이상,92
2025,16,65세이상,77
2025,17,65세이상,86
2025,18,65세이상,83
2025,19,65세이상,74
2025,20,65세이상,60
2025,21,65세이상,45
2025,22,65세이상,49
2025,23,65세이상,39
2025,24,65세이상,51
2025,25,65세이상,50
2025,26,65세이상,50
2025,27,65세이상,33
2025,28,65세이상,51
2025,29,65세이상,35
2025,30,65세이상,50
2025,31,65세이상,53
2025,32,65세이상,53
2025,33,65세이상,64
2025,34,65세이상,68
2025,35,65세이상,70
2024,36,50-64세,18
2024,37,50-64세,17
2024,38,50-64세,31
2024,39,50-64세,12
2024,40,50-64세,11
2024,41,50-64세,15
2024,42,50-64세,9
2024,43,50-64세,28
2024,44,50-64세,30
2024,45,50-64세,23
2024,46,50-64세,36
2024,47,50-64세,35
2024,48,50-64세,56
2024,49,50-64세,91
2024,50,50-64세,220
2024,51,50-64세,734
2024,52,50-64세,2961
2024,53,50-64세,2961
2025,1,50-64세,5870
2025,2,50-64세,3659
2025,3,50-64세,2114
2025,4,50-64세,988
2025,5,50-64세,1114
2025,6,50-64세,245
2025,7,50-64세,132
2025,8,50-64세,88
2025,9,50-64세,112
2025,10,50-64세,91
2025,11,50-64세,56
2025,12,50-64세,67
2025,13,50-64세,83
2025,14,50-64세,77
2025,15,50-64세,81
2025,16,50-64세,85
2025,17,50-64세,92
2025,18,50-64세,72
2025,19,50-64세,73
2025,20,50-64세,41
2025,21,50-64세,36
2025,22,50-64세,13
2025,23,50-64세,29
2025,24,50-64세,21
2025,25,50-64세,14
2025,26,50-64세,24
2025,27,50-64세,19
2025,28,50-64세,16
2025,29,50-64세,17
2025,30,50-64세,13
2025,31,50-64세,23
2025,32,50-64세,14
2025,33,50-64세,18
2025,34,50-64세,22
2025,35,50-64세,19
2024,36,19-49세,47
2024,37,19-49세,48
2024,38,19-49세,69
2024,39,19-49세,55
2024,40,19-49세,48
2024,41,19-49세,41
2024,42,19-49세,45
2024,43,19-49세,46
2024,44,19-49세,65
2024,45,19-49세,72
2024,46,19-49세,84
2024,47,19-49세,102
2024,48,19-49세,175
2024,49,19-49세,272
2024,50,19-49세,703
2024,51,19-49세,2189
2024,52,19-49세,8294
2024,53,19-49세,8294
2025,1,19-49세,14614
2025,2,19-49세,8358
2025,3,19-49세,4420
2025,4,19-49세,2224
2025,5,19-49세,2318
2025,6,19-49세,623
2025,7,19-49세,339
2025,8,19-49세,346
2025,9,19-49세,370
2025,10,19-49세,340
2025,11,19-49세,272
2025,12,19-49세,298
