연도,주차,연령대,인플루엔자 검출률
2025,36,65세이상,1.9
2025,37,65세이상,2.4
2025,38,65세이상,2.1
2025,39,65세이상,4.5
2025,40,65세이상,1.8
2025,41,65세이상,0.0
2025,42,65세이상,2.1
2025,43,65세이상,7.3
2025,44,65세이상,7.1
2025,45,65세이상,22.4
2025,46,65세이상,17.0
2025,47,65세이상,18.6
2025,36,50-64세,0.0
2025,37,50-64세,1.7
2025,38,50-64세,0.0
2025,39,50-64세,4.2
2025,40,50-64세,3.0
2025,41,50-64세,0.0
2025,42,50-64세,6.0
2025,43,50-64세,2.4
2025,44,50-64세,5.0
2025,45,50-64세,28.6
2025,46,50-64세,23.3
2025,47,50-64세,50.0
2025,36,19-49세,1.2
2025,37,19-49세,0.0
2025,38,19-49세,3.3
2025,39,19-49세,1.2
2025,40,19-49세,3.0
2025,41,19-49세,3.6
2025,42,19-49세,10.8
2025,43,19-49세,14.9
2025,44,19-49세,14.9
2025,45,19-49세,39.3
2025,46,19-49세,31.7
2025,47,19-49세,48.9
2025,36,13-18세,2.9
2025,37,13-18세,0.0
2025,38,13-18세,0.0
2025,39,13-18세,0.0
2025,40,13-18세,13.6
2025,41,13-18세,42.9
2025,42,13-18세,14.3
2025,43,13-18세,8.3
2025,44,13-18세,20.0
2025,45,13-18세,42.3
2025,46,13-18세,49.0
2025,47,13-18세,42.0
2025,36,7-12세,4.1
2025,37,7-12세,2.2
2025,38,7-12세,2.0
2025,39,7-12세,5.2
2025,40,7-12세,15.6
2025,41,7-12세,20.0
2025,42,7-12세,10.3
2025,43,7-12세,11.5
2025,44,7-12세,47.8
2025,45,7-12세,47.7
2025,46,7-12세,61.5
2025,47,7-12세,58.1
2025,36,0-6세,3.8
2025,37,0-6세,2.4
2025,38,0-6세,2.5
2025,39,0-6세,2.9
2025,40,0-6세,8.7
2025,41,0-6세,5.0
2025,42,0-6세,4.5
2025,43,0-6세,14.9
2025,44,0-6세,14.2
2025,45,0-6세,26.1
2025,46,0-6세,34.1
2025,47,0-6세,41.7
