연도,주차,아형,인플루엔자 검출률
2025,47,A(H1N1)pdm09,0.8
2025,46,A(H1N1)pdm09,0.9
2025,45,A(H1N1)pdm09,1.6000000000000003
2025,44,A(H1N1)pdm09,0.0
2025,43,A(H1N1)pdm09,0.9
2025,42,A(H1N1)pdm09,0.7
2025,41,A(H1N1)pdm09,0.9
2025,40,A(H1N1)pdm09,0.3
2025,39,A(H1N1)pdm09,0.5
2025,38,A(H1N1)pdm09,0.5
2025,37,A(H1N1)pdm09,1.3
2025,36,A(H1N1)pdm09,0.9
2025,47,A(H3N2),43.9
2025,46,A(H3N2),35.8
2025,45,A(H3N2),33.6
2025,44,A(H3N2),19.0
2025,43,A(H3N2),10.6
2025,42,A(H3N2),6.6
2025,41,A(H3N2),7.2
2025,40,A(H3N2),6.5
2025,39,A(H3N2),2.5
2025,38,A(H3N2),1.1
2025,37,A(H3N2),0.2
2025,36,A(H3N2),1.5
2025,47,B,0.2
2025,46,B,0.2
2025,45,B,0.0
2025,44,B,0.0
2025,43,B,0.0
2025,42,B,0.0
2025,41,B,0.0
2025,40,B,0.3
2025,39,B,0.0
2025,38,B,0.5
2025,37,B,0.0
2025,36,B,0.0
2025,47,검출률,45.0
2025,46,검출률,36.9
2025,45,검출률,35.1
2025,44,검출률,19.0
2025,43,검출률,11.6
2025,42,검출률,7.3
2025,41,검출률,8.1
2025,40,검출률,7.1
2025,39,검출률,3.0
2025,38,검출률,2.1
2025,37,검출률,1.5
2025,36,검출률,2.3
