연도,주차,아형,인플루엔자 검출률
2020,35,A(H1N1)pdm09,0.0
2020,34,A(H1N1)pdm09,0.0
2020,33,A(H1N1)pdm09,0.0
2020,32,A(H1N1)pdm09,0.0
2020,31,A(H1N1)pdm09,0.0
2020,30,A(H1N1)pdm09,0.0
2020,29,A(H1N1)pdm09,0.0
2020,28,A(H1N1)pdm09,0.0
2020,27,A(H1N1)pdm09,0.0
2020,26,A(H1N1)pdm09,0.0
2020,25,A(H1N1)pdm09,0.0
2020,24,A(H1N1)pdm09,0.0
2020,23,A(H1N1)pdm09,0.0
2020,22,A(H1N1)pdm09,0.0
2020,21,A(H1N1)pdm09,0.0
2020,20,A(H1N1)pdm09,0.0
2020,19,A(H1N1)pdm09,0.0
2020,18,A(H1N1)pdm09,0.0
2020,17,A(H1N1)pdm09,0.0
2020,16,A(H1N1)pdm09,0.0
2020,15,A(H1N1)pdm09,0.0
2020,14,A(H1N1)pdm09,0.0
2020,13,A(H1N1)pdm09,0.0
2020,12,A(H1N1)pdm09,0.0
2020,11,A(H1N1)pdm09,0.0
2020,10,A(H1N1)pdm09,0.0
2020,9,A(H1N1)pdm09,0.0
2020,8,A(H1N1)pdm09,2.9
2020,7,A(H1N1)pdm09,6.8
2020,6,A(H1N1)pdm09,9.6
2020,5,A(H1N1)pdm09,27.5
2020,4,A(H1N1)pdm09,31.6
2020,3,A(H1N1)pdm09,28.0
2020,2,A(H1N1)pdm09,29.4
2020,1,A(H1N1)pdm09,33.8
2019,53,A(H1N1)pdm09,28.0
2019,52,A(H1N1)pdm09,28.0
2019,51,A(H1N1)pdm09,16.5
2019,50,A(H1N1)pdm09,10.4
2019,49,A(H1N1)pdm09,13.8
2019,48,A(H1N1)pdm09,9.4
2019,47,A(H1N1)pdm09,9.2
2019,46,A(H1N1)pdm09,3.4
2019,45,A(H1N1)pdm09,4.2
2019,44,A(H1N1)pdm09,4.2
2019,43,A(H1N1)pdm09,3.0
2019,42,A(H1N1)pdm09,3.0
2019,41,A(H1N1)pdm09,2.3
2019,40,A(H1N1)pdm09,1.4
2019,39,A(H1N1)pdm09,0.5
2019,38,A(H1N1)pdm09,0.0
2019,37,A(H1N1)pdm09,0.0
2019,36,A(H1N1)pdm09,0.6
2020,35,A(H3N2),0.0
2020,34,A(H3N2),0.0
2020,33,A(H3N2),0.0
2020,32,A(H3N2),0.0
2020,31,A(H3N2),0.0
2020,30,A(H3N2),0.0
2020,29,A(H3N2),0.0
2020,28,A(H3N2),0.0
2020,27,A(H3N2),0.0
2020,26,A(H3N2),0.0
2020,25,A(H3N2),0.0
2020,24,A(H3N2),0.0
2020,23,A(H3N2),0.0
2020,22,A(H3N2),0.0
2020,21,A(H3N2),0.0
2020,20,A(H3N2),0.0
2020,19,A(H3N2),0.0
2020,18,A(H3N2),0.0
