연도,주차,연령대,예방접종률
2022,39,7-13세,0.1
2022,40,7-13세,0.1
2022,41,7-13세,8.9
2022,42,7-13세,22.8
2022,43,7-13세,34.7
2022,44,7-13세,43.7
2022,45,7-13세,50.1
2022,46,7-13세,54.2
2022,47,7-13세,57.1
2022,48,7-13세,59.9
2022,49,7-13세,61.5
2022,50,7-13세,62.4
2022,51,7-13세,63.1
2022,52,7-13세,63.5
2022,53,7-13세,63.9
2023,1,7-13세,64.2
2023,2,7-13세,64.6
2023,3,7-13세,64.7
2023,4,7-13세,64.8
2023,5,7-13세,64.9
2023,6,7-13세,64.9
2023,7,7-13세,65.0
2023,8,7-13세,65.0
2023,9,7-13세,65.1
2023,10,7-13세,65.1
2023,11,7-13세,65.1
2023,12,7-13세,65.1
2023,13,7-13세,65.1
2023,14,7-13세,65.1
2023,15,7-13세,65.1
2023,16,7-13세,65.1
2023,17,7-13세,65.1
2023,18,7-13세,65.1
2022,39,6개월-13세,0.7
2022,40,6개월-13세,1.5
2022,41,6개월-13세,11.7
2022,42,6개월-13세,26.9
2022,43,6개월-13세,39.3
2022,44,6개월-13세,48.3
2022,45,6개월-13세,54.6
2022,46,6개월-13세,58.7
2022,47,6개월-13세,61.6
2022,48,6개월-13세,64.4
2022,49,6개월-13세,66.1
2022,50,6개월-13세,67.1
2022,51,6개월-13세,67.9
2022,52,6개월-13세,68.4
2022,53,6개월-13세,69.0
2023,1,6개월-13세,69.3
2023,2,6개월-13세,69.8
2023,3,6개월-13세,70.0
2023,4,6개월-13세,70.2
2023,5,6개월-13세,70.3
2023,6,6개월-13세,70.5
2023,7,6개월-13세,70.6
2023,8,6개월-13세,70.7
2023,9,6개월-13세,70.8
2023,10,6개월-13세,70.8
2023,11,6개월-13세,70.8
2023,12,6개월-13세,70.8
2023,13,6개월-13세,70.9
2023,14,6개월-13세,70.9
2023,15,6개월-13세,70.9
2023,16,6개월-13세,70.9
2023,17,6개월-13세,71.0
2023,18,6개월-13세,71.0
2022,39,6개월-6세,1.7
2022,40,6개월-6세,3.7
2022,41,6개월-6세,16.0
2022,42,6개월-6세,33.0
2022,43,6개월-6세,46.2
2022,44,6개월-6세,55.1
2022,45,6개월-6세,61.4
2022,46,6개월-6세,65.5
2022,47,6개월-6세,68.3
2022,48,6개월-6세,71.2
2022,49,6개월-6세,72.9
2022,50,6개월-6세,74.1
2022,51,6개월-6세,75.0
2022,52,6개월-6세,75.7
2022,53,6개월-6세,76.5
2023,1,6개월-6세,77.0
2023,2,6개월-6세,77.6
2023,3,6개월-6세,78.0
2023,4,6개월-6세,78.2
2023,5,6개월-6세,78.5
2023,6,6개월-6세,78.8
2023,7,6개월-6세,79.0
2023,8,6개월-6세,79.1
2023,9,6개월-6세,79.3
2023,10,6개월-6세,79.4
2023,11,6개월-6세,79.4
2023,12,6개월-6세,79.4
2023,13,6개월-6세,79.5
2023,14,6개월-6세,79.5
2023,15,6개월-6세,79.5
2023,16,6개월-6세,79.5
2023,17,6개월-6세,79.5
2023,18,6개월-6세,79.5
