연도,주차,연령대,응급실 인플루엔자 환자
2018,36,연령미상,0
2018,37,연령미상,0
2018,38,연령미상,0
2018,39,연령미상,0
2018,40,연령미상,0
2018,41,연령미상,0
2018,42,연령미상,0
2018,43,연령미상,0
2018,44,연령미상,0
2018,45,연령미상,0
2018,46,연령미상,0
2018,47,연령미상,0
2018,48,연령미상,0
2018,49,연령미상,0
2018,50,연령미상,0
2018,51,연령미상,0
2018,52,연령미상,0
2018,53,연령미상,0
2019,1,연령미상,0
2019,2,연령미상,0
2019,3,연령미상,1
2019,4,연령미상,0
2019,5,연령미상,0
2019,6,연령미상,0
2019,7,연령미상,0
2019,8,연령미상,0
2019,9,연령미상,0
2019,10,연령미상,0
2019,11,연령미상,0
2019,12,연령미상,0
2019,13,연령미상,0
2019,14,연령미상,0
2019,15,연령미상,0
2019,16,연령미상,0
2019,17,연령미상,0
2019,18,연령미상,0
2019,19,연령미상,0
2019,20,연령미상,0
2019,21,연령미상,0
2019,22,연령미상,0
2019,23,연령미상,0
2019,24,연령미상,0
2019,25,연령미상,0
2019,26,연령미상,0
2019,27,연령미상,0
2019,28,연령미상,0
2019,29,연령미상,0
2019,30,연령미상,0
2019,31,연령미상,0
2019,32,연령미상,0
2019,33,연령미상,0
2019,34,연령미상,0
2019,35,연령미상,0
2018,36,65세이상,7
2018,37,65세이상,6
2018,38,65세이상,6
2018,39,65세이상,12
2018,40,65세이상,17
2018,41,65세이상,14
2018,42,65세이상,21
2018,43,65세이상,23
2018,44,65세이상,43
2018,45,65세이상,62
2018,46,65세이상,61
2018,47,65세이상,93
2018,48,65세이상,185
2018,49,65세이상,356
2018,50,65세이상,671
2018,51,65세이상,1460
2018,52,65세이상,2105
2018,53,65세이상,2105
2019,1,65세이상,2041
2019,2,65세이상,1202
2019,3,65세이상,667
2019,4,65세이상,377
2019,5,65세이상,231
2019,6,65세이상,352
2019,7,65세이상,127
2019,8,65세이상,151
2019,9,65세이상,211
2019,10,65세이상,137
2019,11,65세이상,141
2019,12,65세이상,213
2019,13,65세이상,244
2019,14,65세이상,246
2019,15,65세이상,300
2019,16,65세이상,323
2019,17,65세이상,266
2019,18,65세이상,164
2019,19,65세이상,125
2019,20,65세이상,97
2019,21,65세이상,52
2019,22,65세이상,40
2019,23,65세이상,19
2019,24,65세이상,24
2019,25,65세이상,7
2019,26,65세이상,8
2019,27,65세이상,18
2019,28,65세이상,8
2019,29,65세이상,9
2019,30,65세이상,8
2019,31,65세이상,4
2019,32,65세이상,6
2019,33,65세이상,3
2019,34,65세이상,9
2019,35,65세이상,2
2018,36,50-64세,5
2018,37,50-64세,10
2018,38,50-64세,8
2018,39,50-64세,16
2018,40,50-64세,7
2018,41,50-64세,9
2018,42,50-64세,15
2018,43,50-64세,25
2018,44,50-64세,37
2018,45,50-64세,42
2018,46,50-64세,85
2018,47,50-64세,129
2018,48,50-64세,341
2018,49,50-64세,640
2018,50,50-64세,1137
2018,51,50-64세,2476
2018,52,50-64세,3699
2018,53,50-64세,3699
2019,1,50-64세,3235
2019,2,50-64세,1464
2019,3,50-64세,761
2019,4,50-64세,368
2019,5,50-64세,234
2019,6,50-64세,438
