연도,주차,연령대,응급실 인플루엔자 환자
2022,36,연령미상,0
2022,37,연령미상,0
2022,38,연령미상,0
2022,39,연령미상,0
2022,40,연령미상,0
2022,41,연령미상,0
2022,42,연령미상,0
2022,43,연령미상,0
2022,44,연령미상,0
2022,45,연령미상,0
2022,46,연령미상,0
2022,47,연령미상,0
2022,48,연령미상,0
2022,49,연령미상,0
2022,50,연령미상,0
2022,51,연령미상,0
2022,52,연령미상,0
2022,53,연령미상,0
2023,1,연령미상,0
2023,2,연령미상,0
2023,3,연령미상,0
2023,4,연령미상,0
2023,5,연령미상,0
2023,6,연령미상,0
2023,7,연령미상,0
2023,8,연령미상,0
2023,9,연령미상,0
2023,10,연령미상,0
2023,11,연령미상,0
2023,12,연령미상,0
2023,13,연령미상,0
2023,14,연령미상,0
2023,15,연령미상,0
2023,16,연령미상,0
2023,17,연령미상,0
2023,18,연령미상,0
2023,19,연령미상,0
2023,20,연령미상,0
2023,21,연령미상,0
2023,22,연령미상,0
2023,23,연령미상,0
2023,24,연령미상,0
2023,25,연령미상,0
2023,26,연령미상,0
2023,27,연령미상,0
2023,28,연령미상,0
2023,29,연령미상,0
2023,30,연령미상,0
2023,31,연령미상,0
2023,32,연령미상,0
2023,33,연령미상,0
2023,34,연령미상,0
2023,35,연령미상,0
2022,36,65세이상,8
2022,37,65세이상,5
2022,38,65세이상,3
2022,39,65세이상,11
2022,40,65세이상,13
2022,41,65세이상,13
2022,42,65세이상,24
2022,43,65세이상,24
2022,44,65세이상,32
2022,45,65세이상,45
2022,46,65세이상,53
2022,47,65세이상,60
2022,48,65세이상,59
2022,49,65세이상,69
2022,50,65세이상,121
2022,51,65세이상,216
2022,52,65세이상,272
2022,53,65세이상,398
2023,1,65세이상,418
2023,2,65세이상,292
2023,3,65세이상,201
2023,4,65세이상,213
2023,5,65세이상,106
2023,6,65세이상,95
2023,7,65세이상,106
2023,8,65세이상,88
2023,9,65세이상,78
2023,10,65세이상,85
2023,11,65세이상,80
2023,12,65세이상,67
2023,13,65세이상,90
2023,14,65세이상,93
2023,15,65세이상,146
2023,16,65세이상,176
2023,17,65세이상,153
2023,18,65세이상,231
2023,19,65세이상,245
2023,20,65세이상,237
2023,21,65세이상,228
2023,22,65세이상,248
2023,23,65세이상,177
2023,24,65세이상,134
2023,25,65세이상,109
2023,26,65세이상,115
2023,27,65세이상,106
2023,28,65세이상,129
2023,29,65세이상,191
2023,30,65세이상,227
2023,31,65세이상,258
2023,32,65세이상,197
2023,33,65세이상,179
2023,34,65세이상,116
2023,35,65세이상,123
2022,36,50-64세,1
2022,37,50-64세,4
2022,38,50-64세,3
2022,39,50-64세,8
2022,40,50-64세,10
2022,41,50-64세,10
2022,42,50-64세,11
2022,43,50-64세,19
2022,44,50-64세,25
2022,45,50-64세,31
2022,46,50-64세,43
2022,47,50-64세,53
2022,48,50-64세,53
2022,49,50-64세,69
2022,50,50-64세,106
2022,51,50-64세,214
2022,52,50-64세,274
2022,53,50-64세,347
2023,1,50-64세,340
2023,2,50-64세,266
2023,3,50-64세,177
2023,4,50-64세,239
2023,5,50-64세,70
2023,6,50-64세,81
2023,7,50-64세,62
2023,8,50-64세,70
2023,9,50-64세,80
2023,10,50-64세,40
2023,11,50-64세,49
2023,12,50-64세,57
2023,13,50-64세,58
2023,14,50-64세,88
2023,15,50-64세,103
2023,16,50-64세,128
2023,17,50-64세,143
2023,18,50-64세,235
2023,19,50-64세,178
2023,20,50-64세,202
2023,21,50-64세,208
2023,22,50-64세,231
2023,23,50-64세,186
2023,24,50-64세,100
2023,25,50-64세,100
2023,26,50-64세,88
2023,27,50-64세,106
2023,28,50-64세,113
2023,29,50-64세,185
2023,30,50-64세,199
2023,31,50-64세,253
2023,32,50-64세,173
2023,33,50-64세,150
2023,34,50-64세,84
2023,35,50-64세,68
2022,36,19-49세,14
2022,37,19-49세,23
2022,38,19-49세,18
2022,39,19-49세,27
2022,40,19-49세,26
2022,41,19-49세,34
2022,42,19-49세,68
2022,43,19-49세,111
2022,44,19-49세,189
2022,45,19-49세,380
2022,46,19-49세,534
2022,47,19-49세,702
2022,48,19-49세,821
2022,49,19-49세,1003
2022,50,19-49세,2157
2022,51,19-49세,2926
2022,52,19-49세,3314
2022,53,19-49세,3526
2023,1,19-49세,2995
2023,2,19-49세,1896
2023,3,19-49세,1040
2023,4,19-49세,1183
2023,5,19-49세,461
2023,6,19-49세,392
2023,7,19-49세,324
2023,8,19-49세,275
2023,9,19-49세,318
2023,10,19-49세,263
2023,11,19-49세,213
2023,12,19-49세,261
2023,13,19-49세,267
2023,14,19-49세,402
2023,15,19-49세,583
2023,16,19-49세,851
2023,17,19-49세,734
2023,18,19-49세,1252
2023,19,19-49세,1108
2023,20,19-49세,1228
2023,21,19-49세,1203
2023,22,19-49세,1238
2023,23,19-49세,877
2023,24,19-49세,483
2023,25,19-49세,358
2023,26,19-49세,361
2023,27,19-49세,400
2023,28,19-49세,444
2023,29,19-49세,605
2023,30,19-49세,729
2023,31,19-49세,671
2023,32,19-49세,480
2023,33,19-49세,401
2023,34,19-49세,251
2023,35,19-49세,222
2022,36,13-18세,16
2022,37,13-18세,40
2022,38,13-18세,22
2022,39,13-18세,24
2022,40,13-18세,26
2022,41,13-18세,49
2022,42,13-18세,79
2022,43,13-18세,142
2022,44,13-18세,225
2022,45,13-18세,332
2022,46,13-18세,511
2022,47,13-18세,476
2022,48,13-18세,601
2022,49,13-18세,768
2022,50,13-18세,1556
2022,51,13-18세,1750
2022,52,13-18세,1610
2022,53,13-18세,1420
2023,1,13-18세,968
2023,2,13-18세,393
2023,3,13-18세,124
2023,4,13-18세,144
2023,5,13-18세,56
2023,6,13-18세,54
2023,7,13-18세,32
2023,8,13-18세,37
2023,9,13-18세,49
2023,10,13-18세,50
2023,11,13-18세,68
2023,12,13-18세,101
2023,13,13-18세,133
2023,14,13-18세,174
2023,15,13-18세,243
2023,16,13-18세,351
2023,17,13-18세,273
2023,18,13-18세,546
2023,19,13-18세,540
2023,20,13-18세,707
2023,21,13-18세,688
2023,22,13-18세,521
2023,23,13-18세,337
2023,24,13-18세,179
2023,25,13-18세,132
2023,26,13-18세,142
2023,27,13-18세,134
