연도,주차,아형,인플루엔자 검출률
2025,47,A,39.8
2025,46,A,37.5
2025,45,A,32.8
2025,44,A,17.2
2025,43,A,9.6
2025,42,A,5.4
2025,41,A,5.7
2025,40,A,5.9
2025,39,A,3.9
2025,38,A,2.8
2025,37,A,1.7
2025,36,A,0.9
2025,47,B,0.4
2025,46,B,0.3
2025,45,B,0.1
2025,44,B,0.2
2025,43,B,0.1
2025,42,B,0.0
2025,41,B,0.1
2025,40,B,0.1
2025,39,B,0.0
2025,38,B,0.1
2025,37,B,0.1
2025,36,B,0.1
2025,47,검출률,40.2
2025,46,검출률,37.8
2025,45,검출률,32.9
2025,44,검출률,17.4
2025,43,검출률,9.7
2025,42,검출률,5.4
2025,41,검출률,5.7
2025,40,검출률,6.0
2025,39,검출률,3.9
2025,38,검출률,2.8
2025,37,검출률,1.9
2025,36,검출률,1.0
