연도,주차,연령대,의사환자 분율
2018,36,65세이상,1.3
2018,37,65세이상,1.5
2018,38,65세이상,1.2
2018,39,65세이상,1.4
2018,40,65세이상,0.9
2018,41,65세이상,1.0
2018,42,65세이상,1.1
2018,43,65세이상,1.2
2018,44,65세이상,1.7
2018,45,65세이상,1.3
2018,46,65세이상,2.3
2018,47,65세이상,2.6
2018,48,65세이상,3.6
2018,49,65세이상,6.2
2018,50,65세이상,8.0
2018,51,65세이상,13.4
2018,52,65세이상,16.7
2018,53,65세이상,16.7
2019,1,65세이상,16.5
2019,2,65세이상,11.5
2019,3,65세이상,5.9
2019,4,65세이상,4.9
2019,5,65세이상,3.4
2019,6,65세이상,2.9
2019,7,65세이상,2.5
2019,8,65세이상,2.9
2019,9,65세이상,2.5
2019,10,65세이상,2.3
2019,11,65세이상,2.6
2019,12,65세이상,3.1
2019,13,65세이상,3.1
2019,14,65세이상,4.1
2019,15,65세이상,3.8
2019,16,65세이상,5.3
2019,17,65세이상,0.0
2019,18,65세이상,2.5
2019,19,65세이상,1.6
2019,20,65세이상,2.1
2019,21,65세이상,1.4
2019,22,65세이상,1.3
2019,23,65세이상,1.2
2019,24,65세이상,1.3
2019,25,65세이상,1.3
2019,26,65세이상,1.0
2019,27,65세이상,1.1
2019,28,65세이상,1.3
2019,29,65세이상,1.5
2019,30,65세이상,1.0
2019,31,65세이상,1.1
2019,32,65세이상,0.8
2019,33,65세이상,1.6
2019,34,65세이상,1.1
2019,35,65세이상,1.4
2018,36,50-64세,2.1
2018,37,50-64세,2.5
2018,38,50-64세,2.2
2018,39,50-64세,3.2
2018,40,50-64세,2.2
2018,41,50-64세,1.9
2018,42,50-64세,2.5
2018,43,50-64세,2.8
2018,44,50-64세,2.9
2018,45,50-64세,2.8
2018,46,50-64세,2.7
2018,47,50-64세,4.5
2018,48,50-64세,7.7
2018,49,50-64세,15.5
2018,50,50-64세,22.2
2018,51,50-64세,36.9
2018,52,50-64세,38.6
2018,53,50-64세,38.6
2019,1,50-64세,34.5
2019,2,50-64세,24.9
2019,3,50-64세,14.6
2019,4,50-64세,12.7
2019,5,50-64세,8.8
2019,6,50-64세,8.2
2019,7,50-64세,5.0
2019,8,50-64세,5.6
2019,9,50-64세,4.3
2019,10,50-64세,5.3
2019,11,50-64세,5.3
2019,12,50-64세,6.7
2019,13,50-64세,8.0
2019,14,50-64세,7.9
2019,15,50-64세,9.8
2019,16,50-64세,11.4
2019,17,50-64세,0.0
2019,18,50-64세,6.9
2019,19,50-64세,5.3
2019,20,50-64세,4.9
2019,21,50-64세,3.8
2019,22,50-64세,2.9
2019,23,50-64세,2.6
2019,24,50-64세,1.7
2019,25,50-64세,2.2
2019,26,50-64세,2.0
2019,27,50-64세,2.1
2019,28,50-64세,2.2
2019,29,50-64세,1.5
