연도,주차,연령대,예방접종률
2024,38,75세 이상,0.0
2024,39,75세 이상,0.0
2024,40,75세 이상,0.0
2024,41,75세 이상,25.0
2024,42,75세 이상,58.0
2024,43,75세 이상,72.5
2024,44,75세 이상,78.0
2024,45,75세 이상,80.6
2024,46,75세 이상,82.2
2024,47,75세 이상,83.2
2024,48,75세 이상,83.8
2024,49,75세 이상,84.3
2024,50,75세 이상,84.6
2024,51,75세 이상,84.8
2024,52,75세 이상,85.0
2024,53,75세 이상,85.0
2025,1,75세 이상,85.2
2025,2,75세 이상,85.4
2025,3,75세 이상,85.6
2025,4,75세 이상,85.7
2025,5,75세 이상,85.7
2025,6,75세 이상,85.8
2025,7,75세 이상,85.8
2025,8,75세 이상,85.8
2025,9,75세 이상,85.8
2025,10,75세 이상,85.9
2025,11,75세 이상,85.9
2025,12,75세 이상,85.9
2025,13,75세 이상,85.9
2025,14,75세 이상,85.9
2025,15,75세 이상,85.9
2025,16,75세 이상,85.9
2025,17,75세 이상,85.9
2025,18,75세 이상,85.9
2024,38,70-74세,0.0
2024,39,70-74세,0.0
2024,40,70-74세,0.0
2024,41,70-74세,3.8
2024,42,70-74세,42.4
2024,43,70-74세,61.2
2024,44,70-74세,69.4
2024,45,70-74세,73.9
2024,46,70-74세,76.7
2024,47,70-74세,78.6
2024,48,70-74세,79.9
2024,49,70-74세,80.8
2024,50,70-74세,81.3
2024,51,70-74세,81.7
2024,52,70-74세,82.2
2024,53,70-74세,82.2
2025,1,70-74세,82.5
2025,2,70-74세,83.0
2025,3,70-74세,83.3
2025,4,70-74세,83.5
2025,5,70-74세,83.5
2025,6,70-74세,83.6
2025,7,70-74세,83.7
2025,8,70-74세,83.7
2025,9,70-74세,83.7
2025,10,70-74세,83.7
2025,11,70-74세,83.8
2025,12,70-74세,83.8
2025,13,70-74세,83.8
2025,14,70-74세,83.8
2025,15,70-74세,83.8
2025,16,70-74세,83.8
2025,17,70-74세,83.8
2025,18,70-74세,83.8
2024,38,65-69세,0.0
2024,39,65-69세,0.0
2024,40,65-69세,0.0
2024,41,65-69세,2.2
2024,42,65-69세,21.1
2024,43,65-69세,43.7
2024,44,65-69세,54.0
2024,45,65-69세,60.0
2024,46,65-69세,64.0
2024,47,65-69세,66.8
2024,48,65-69세,68.7
2024,49,65-69세,69.9
2024,50,65-69세,70.8
2024,51,65-69세,71.4
2024,52,65-69세,72.2
2024,53,65-69세,72.2
2025,1,65-69세,72.7
2025,2,65-69세,73.5
2025,3,65-69세,74.2
2025,4,65-69세,74.6
2025,5,65-69세,74.6
2025,6,65-69세,74.8
2025,7,65-69세,74.9
2025,8,65-69세,74.9
2025,9,65-69세,75.0
2025,10,65-69세,75.0
2025,11,65-69세,75.0
2025,12,65-69세,75.0
2025,13,65-69세,75.0
2025,14,65-69세,75.0
2025,15,65-69세,75.1
2025,16,65-69세,75.1
2025,17,65-69세,75.1
2025,18,65-69세,75.1
2024,38,65세 이상,0.0
2024,39,65세 이상,0.0
2024,40,65세 이상,0.0
2024,41,65세 이상,12.0
2024,42,65세 이상,41.4
2024,43,65세 이상,59.7
2024,44,65세 이상,67.6
2024,45,65세 이상,71.8
2024,46,65세 이상,74.5
2024,47,65세 이상,76.3
2024,48,65세 이상,77.6
2024,49,65세 이상,78.4
2024,50,65세 이상,78.9
2024,51,65세 이상,79.4
2024,52,65세 이상,79.8
2024,53,65세 이상,79.8
2025,1,65세 이상,80.2
2025,2,65세 이상,80.7
2025,3,65세 이상,81.1
2025,4,65세 이상,81.3
2025,5,65세 이상,81.3
2025,6,65세 이상,81.4
2025,7,65세 이상,81.5
2025,8,65세 이상,81.5
2025,9,65세 이상,81.5
2025,10,65세 이상,81.5
2025,11,65세 이상,81.6
2025,12,65세 이상,81.6
2025,13,65세 이상,81.6
2025,14,65세 이상,81.6
2025,15,65세 이상,81.6
2025,16,65세 이상,81.6
2025,17,65세 이상,81.6
2025,18,65세 이상,81.6
