연도,주차,연령대,응급실 인플루엔자 환자
2025,36,연령미상,0
2025,37,연령미상,0
2025,38,연령미상,0
2025,39,연령미상,0
2025,40,연령미상,0
2025,41,연령미상,0
2025,42,연령미상,0
2025,43,연령미상,0
2025,44,연령미상,0
2025,45,연령미상,0
2025,46,연령미상,0
2025,47,연령미상,0
2025,36,65세이상,56
2025,37,65세이상,70
2025,38,65세이상,72
2025,39,65세이상,85
2025,40,65세이상,119
2025,41,65세이상,229
2025,42,65세이상,153
2025,43,65세이상,147
2025,44,65세이상,227
2025,45,65세이상,419
2025,46,65세이상,624
2025,47,65세이상,1075
2025,36,50-64세,20
2025,37,50-64세,38
2025,38,50-64세,32
2025,39,50-64세,30
2025,40,50-64세,55
2025,41,50-64세,173
2025,42,50-64세,51
2025,43,50-64세,50
2025,44,50-64세,110
2025,45,50-64세,248
2025,46,50-64세,435
2025,47,50-64세,667
2025,36,19-49세,57
2025,37,19-49세,87
2025,38,19-49세,95
2025,39,19-49세,142
2025,40,19-49세,218
2025,41,19-49세,563
2025,42,19-49세,202
2025,43,19-49세,274
2025,44,19-49세,643
2025,45,19-49세,1749
2025,46,19-49세,2668
2025,47,19-49세,4090
2025,36,13-18세,12
2025,37,13-18세,16
2025,38,13-18세,18
2025,39,13-18세,22
2025,40,13-18세,48
2025,41,13-18세,78
2025,42,13-18세,56
2025,43,13-18세,119
2025,44,13-18세,398
2025,45,13-18세,1077
2025,46,13-18세,1823
2025,47,13-18세,2363
2025,36,7-12세,31
2025,37,7-12세,36
2025,38,7-12세,47
2025,39,7-12세,82
2025,40,7-12세,169
2025,41,7-12세,320
2025,42,7-12세,101
2025,43,7-12세,279
2025,44,7-12세,966
2025,45,7-12세,2750
2025,46,7-12세,3378
2025,47,7-12세,3293
2025,36,1-6세,36
2025,37,1-6세,67
2025,38,1-6세,69
2025,39,1-6세,123
2025,40,1-6세,246
2025,41,1-6세,329
2025,42,1-6세,104
2025,43,1-6세,349
2025,44,1-6세,851
2025,45,1-6세,2088
2025,46,1-6세,2691
2025,47,1-6세,2846
2025,36,0세,1
2025,37,0세,1
2025,38,0세,6
2025,39,0세,10
2025,40,0세,16
2025,41,0세,26
2025,42,0세,5
2025,43,0세,13
2025,44,0세,35
2025,45,0세,112
2025,46,0세,163
2025,47,0세,234
