연도,주차,연령대,예방접종률
2019,38,75세 이상,0.0
2019,39,75세 이상,0.0
2019,40,75세 이상,0.0
2019,41,75세 이상,0.0
2019,42,75세 이상,59.4
2019,43,75세 이상,77.6
2019,44,75세 이상,83.2
2019,45,75세 이상,85.4
2019,46,75세 이상,86.4
2019,47,75세 이상,87.1
2019,48,75세 이상,87.2
2019,49,75세 이상,87.3
2019,50,75세 이상,87.4
2019,51,75세 이상,87.4
2019,52,75세 이상,87.4
2019,53,75세 이상,87.4
2020,1,75세 이상,87.4
2020,2,75세 이상,87.4
2020,3,75세 이상,87.4
2020,4,75세 이상,87.4
2020,5,75세 이상,87.4
2020,6,75세 이상,87.4
2020,7,75세 이상,87.4
2020,8,75세 이상,87.4
2020,9,75세 이상,87.4
2020,10,75세 이상,87.4
2020,11,75세 이상,87.4
2020,12,75세 이상,87.4
2020,13,75세 이상,87.4
2020,14,75세 이상,87.4
2020,15,75세 이상,87.4
2020,16,75세 이상,87.4
2020,17,75세 이상,87.4
2020,18,75세 이상,87.4
2019,38,70-74세,0.0
2019,39,70-74세,0.0
2019,40,70-74세,0.0
2019,41,70-74세,0.0
2019,42,70-74세,17.1
2019,43,70-74세,64.8
2019,44,70-74세,76.2
2019,45,70-74세,80.5
2019,46,70-74세,82.7
2019,47,70-74세,84.1
2019,48,70-74세,84.4
2019,49,70-74세,84.6
2019,50,70-74세,84.7
2019,51,70-74세,84.8
2019,52,70-74세,84.9
2019,53,70-74세,84.9
2020,1,70-74세,84.9
2020,2,70-74세,84.9
2020,3,70-74세,85.0
2020,4,70-74세,85.1
2020,5,70-74세,85.1
2020,6,70-74세,85.1
2020,7,70-74세,85.1
2020,8,70-74세,85.1
2020,9,70-74세,85.1
2020,10,70-74세,85.1
2020,11,70-74세,85.1
2020,12,70-74세,85.1
2020,13,70-74세,85.1
2020,14,70-74세,85.1
2020,15,70-74세,85.1
2020,16,70-74세,85.1
2020,17,70-74세,85.1
2020,18,70-74세,85.1
2019,38,65-69세,0.0
2019,39,65-69세,0.0
2019,40,65-69세,0.0
2019,41,65-69세,0.0
2019,42,65-69세,11.4
2019,43,65-69세,49.5
2019,44,65-69세,63.0
2019,45,65-69세,68.9
2019,46,65-69세,72.4
2019,47,65-69세,74.8
2019,48,65-69세,75.4
2019,49,65-69세,75.8
2019,50,65-69세,76.1
2019,51,65-69세,76.3
2019,52,65-69세,76.4
2019,53,65-69세,76.4
2020,1,65-69세,76.5
2020,2,65-69세,76.5
2020,3,65-69세,76.6
2020,4,65-69세,76.6
2020,5,65-69세,76.7
2020,6,65-69세,76.7
2020,7,65-69세,76.7
2020,8,65-69세,76.7
2020,9,65-69세,76.7
2020,10,65-69세,76.7
2020,11,65-69세,76.8
2020,12,65-69세,76.8
2020,13,65-69세,76.8
2020,14,65-69세,76.8
2020,15,65-69세,76.8
2020,16,65-69세,76.8
2020,17,65-69세,76.8
2020,18,65-69세,76.8
2019,38,65세 이상,0.0
2019,39,65세 이상,0.0
2019,40,65세 이상,0.0
2019,41,65세 이상,0.0
2019,42,65세 이상,33.8
2019,43,65세 이상,65.5
2019,44,65세 이상,75.1
2019,45,65세 이상,79.0
2019,46,65세 이상,81.0
2019,47,65세 이상,82.4
2019,48,65세 이상,82.8
2019,49,65세 이상,83.0
2019,50,65세 이상,83.1
2019,51,65세 이상,83.2
2019,52,65세 이상,83.3
2019,53,65세 이상,83.3
2020,1,65세 이상,83.3
2020,2,65세 이상,83.4
2020,3,65세 이상,83.4
2020,4,65세 이상,83.4
2020,5,65세 이상,83.4
2020,6,65세 이상,83.5
2020,7,65세 이상,83.5
2020,8,65세 이상,83.5
2020,9,65세 이상,83.5
2020,10,65세 이상,83.5
2020,11,65세 이상,83.5
2020,12,65세 이상,83.5
2020,13,65세 이상,83.5
2020,14,65세 이상,83.5
2020,15,65세 이상,83.5
2020,16,65세 이상,83.5
2020,17,65세 이상,83.5
2020,18,65세 이상,83.5
