연도,주차,연령대,예방접종률
2018,38,75세 이상,0.0
2018,39,75세 이상,0.0
2018,40,75세 이상,50.9
2018,41,75세 이상,72.1
2018,42,75세 이상,81.5
2018,43,75세 이상,84.6
2018,44,75세 이상,85.9
2018,45,75세 이상,86.5
2018,46,75세 이상,86.9
2018,47,75세 이상,87.0
2018,48,75세 이상,87.1
2018,49,75세 이상,87.2
2018,50,75세 이상,87.2
2018,51,75세 이상,87.2
2018,52,75세 이상,87.3
2018,53,75세 이상,87.3
2019,1,75세 이상,87.3
2019,2,75세 이상,87.3
2019,3,75세 이상,87.3
2019,4,75세 이상,87.3
2019,5,75세 이상,87.3
2019,6,75세 이상,87.3
2019,7,75세 이상,87.3
2019,8,75세 이상,87.3
2019,9,75세 이상,87.3
2019,10,75세 이상,87.3
2019,11,75세 이상,87.3
2019,12,75세 이상,87.3
2019,13,75세 이상,87.3
2019,14,75세 이상,87.3
2019,15,75세 이상,87.3
2019,16,75세 이상,87.3
2019,17,75세 이상,87.3
2019,18,75세 이상,87.3
2018,38,70-74세,0.0
2018,39,70-74세,0.0
2018,40,70-74세,14.2
2018,41,70-74세,57.0
2018,42,70-74세,74.7
2018,43,70-74세,80.2
2018,44,70-74세,82.7
2018,45,70-74세,83.9
2018,46,70-74세,84.7
2018,47,70-74세,84.9
2018,48,70-74세,85.1
2018,49,70-74세,85.2
2018,50,70-74세,85.3
2018,51,70-74세,85.3
2018,52,70-74세,85.4
2018,53,70-74세,85.4
2019,1,70-74세,85.4
2019,2,70-74세,85.4
2019,3,70-74세,85.4
2019,4,70-74세,85.4
2019,5,70-74세,85.4
2019,6,70-74세,85.4
2019,7,70-74세,85.4
2019,8,70-74세,85.4
2019,9,70-74세,85.4
2019,10,70-74세,85.5
2019,11,70-74세,85.5
2019,12,70-74세,85.5
2019,13,70-74세,85.5
2019,14,70-74세,85.5
2019,15,70-74세,85.5
2019,16,70-74세,85.5
2019,17,70-74세,85.5
2019,18,70-74세,85.5
2018,38,65-69세,0.0
2018,39,65-69세,0.0
2018,40,65-69세,8.9
2018,41,65-69세,42.0
2018,42,65-69세,61.4
2018,43,65-69세,68.8
2018,44,65-69세,72.6
2018,45,65-69세,74.6
2018,46,65-69세,75.8
2018,47,65-69세,76.3
2018,48,65-69세,76.6
2018,49,65-69세,76.8
2018,50,65-69세,77.0
2018,51,65-69세,77.1
2018,52,65-69세,77.2
2018,53,65-69세,77.2
2019,1,65-69세,77.2
2019,2,65-69세,77.3
2019,3,65-69세,77.3
2019,4,65-69세,77.3
2019,5,65-69세,77.3
2019,6,65-69세,77.3
2019,7,65-69세,77.3
2019,8,65-69세,77.3
2019,9,65-69세,77.3
2019,10,65-69세,77.3
2019,11,65-69세,77.3
2019,12,65-69세,77.3
2019,13,65-69세,77.3
2019,14,65-69세,77.3
2019,15,65-69세,77.3
2019,16,65-69세,77.3
2019,17,65-69세,77.4
2019,18,65-69세,77.4
2018,38,65세 이상,0.0
2018,39,65세 이상,0.0
2018,40,65세 이상,28.7
2018,41,65세 이상,58.9
2018,42,65세 이상,73.5
2018,43,65세 이상,78.5
2018,44,65세 이상,80.9
2018,45,65세 이상,82.1
2018,46,65세 이상,82.9
2018,47,65세 이상,83.2
2018,48,65세 이상,83.3
2018,49,65세 이상,83.4
2018,50,65세 이상,83.5
2018,51,65세 이상,83.6
2018,52,65세 이상,83.6
2018,53,65세 이상,83.6
2019,1,65세 이상,83.7
2019,2,65세 이상,83.7
2019,3,65세 이상,83.7
2019,4,65세 이상,83.7
2019,5,65세 이상,83.7
2019,6,65세 이상,83.7
2019,7,65세 이상,83.7
2019,8,65세 이상,83.7
2019,9,65세 이상,83.7
2019,10,65세 이상,83.7
2019,11,65세 이상,83.7
2019,12,65세 이상,83.7
2019,13,65세 이상,83.7
2019,14,65세 이상,83.7
2019,15,65세 이상,83.7
2019,16,65세 이상,83.7
2019,17,65세 이상,83.8
2019,18,65세 이상,83.8
