연도,주차,아형,인플루엔자 검출률
2022,35,A(H1N1)pdm09,0.0
2022,34,A(H1N1)pdm09,0.0
2022,33,A(H1N1)pdm09,0.0
2022,32,A(H1N1)pdm09,0.0
2022,31,A(H1N1)pdm09,0.0
2022,30,A(H1N1)pdm09,0.0
2022,29,A(H1N1)pdm09,0.0
2022,28,A(H1N1)pdm09,0.0
2022,27,A(H1N1)pdm09,0.0
2022,26,A(H1N1)pdm09,0.0
2022,25,A(H1N1)pdm09,0.0
2022,24,A(H1N1)pdm09,0.0
2022,23,A(H1N1)pdm09,0.0
2022,22,A(H1N1)pdm09,0.0
2022,21,A(H1N1)pdm09,0.0
2022,20,A(H1N1)pdm09,0.0
2022,19,A(H1N1)pdm09,0.0
2022,18,A(H1N1)pdm09,0.0
2022,17,A(H1N1)pdm09,0.0
2022,16,A(H1N1)pdm09,0.0
2022,15,A(H1N1)pdm09,0.0
2022,14,A(H1N1)pdm09,0.0
2022,13,A(H1N1)pdm09,0.0
2022,12,A(H1N1)pdm09,0.0
2022,11,A(H1N1)pdm09,0.0
2022,10,A(H1N1)pdm09,0.0
2022,9,A(H1N1)pdm09,0.0
2022,8,A(H1N1)pdm09,0.0
2022,7,A(H1N1)pdm09,0.0
2022,6,A(H1N1)pdm09,0.0
2022,5,A(H1N1)pdm09,0.0
2022,4,A(H1N1)pdm09,0.0
2022,3,A(H1N1)pdm09,0.0
2022,2,A(H1N1)pdm09,0.0
2022,1,A(H1N1)pdm09,0.0
2021,53,A(H1N1)pdm09,0.0
2021,52,A(H1N1)pdm09,0.0
2021,51,A(H1N1)pdm09,0.0
2021,50,A(H1N1)pdm09,0.0
2021,49,A(H1N1)pdm09,0.0
2021,48,A(H1N1)pdm09,0.0
2021,47,A(H1N1)pdm09,0.0
2021,46,A(H1N1)pdm09,0.0
2021,45,A(H1N1)pdm09,0.0
2021,44,A(H1N1)pdm09,0.0
2021,43,A(H1N1)pdm09,0.0
2021,42,A(H1N1)pdm09,0.0
2021,41,A(H1N1)pdm09,0.0
2021,40,A(H1N1)pdm09,0.0
2021,39,A(H1N1)pdm09,0.0
2021,38,A(H1N1)pdm09,0.0
2021,37,A(H1N1)pdm09,0.0
2021,36,A(H1N1)pdm09,0.0
2022,35,A(H3N2),4.2
2022,34,A(H3N2),0.9
2022,33,A(H3N2),3.0
2022,32,A(H3N2),3.9
2022,31,A(H3N2),1.3
2022,30,A(H3N2),3.6
2022,29,A(H3N2),2.3
2022,28,A(H3N2),2.8
2022,27,A(H3N2),0.0
2022,26,A(H3N2),0.0
2022,25,A(H3N2),0.0
2022,24,A(H3N2),0.0
2022,23,A(H3N2),0.0
2022,22,A(H3N2),0.0
2022,21,A(H3N2),0.0
2022,20,A(H3N2),0.0
2022,19,A(H3N2),0.0
2022,18,A(H3N2),1.2
2022,17,A(H3N2),0.0
2022,16,A(H3N2),0.0
2022,15,A(H3N2),0.0
2022,14,A(H3N2),0.0
2022,13,A(H3N2),0.0
2022,12,A(H3N2),0.0
2022,11,A(H3N2),0.0
2022,10,A(H3N2),0.0
2022,9,A(H3N2),0.0
2022,8,A(H3N2),0.0
2022,7,A(H3N2),0.0
2022,6,A(H3N2),0.0
2022,5,A(H3N2),0.0
2022,4,A(H3N2),0.0
2022,3,A(H3N2),0.0
2022,2,A(H3N2),0.0
2022,1,A(H3N2),0.0
2021,53,A(H3N2),0.0
2021,52,A(H3N2),0.0
2021,51,A(H3N2),0.0
2021,50,A(H3N2),0.0
2021,49,A(H3N2),0.0
2021,48,A(H3N2),0.0
2021,47,A(H3N2),0.0
2021,46,A(H3N2),0.0
2021,45,A(H3N2),0.0
2021,44,A(H3N2),0.0
2021,43,A(H3N2),0.0
2021,42,A(H3N2),0.0
2021,41,A(H3N2),0.0
2021,40,A(H3N2),0.0
2021,39,A(H3N2),0.0
2021,38,A(H3N2),0.0
2021,37,A(H3N2),0.0
2021,36,A(H3N2),0.0
2022,35,B,0.0
2022,34,B,0.0
2022,33,B,0.0
2022,32,B,0.0
2022,31,B,0.0
2022,30,B,0.0
2022,29,B,0.0
2022,28,B,0.0
2022,27,B,0.0
